INFO:     Started server process [93406]
INFO:     Waiting for application startup.
Starting MCP Registry vdev
INFO:     127.0.0.1:61417 - "GET /v0/servers?limit=40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61475 - "GET /v0/servers?limit=40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61516 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62851 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:62852 - "GET /v0/servers?limit=40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63379 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63380 - "GET /v0/servers?limit=40 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63530 - "GET /v0/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63683 - "GET /v0/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:63797 - "GET /v0/servers?limit=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63812 - "GET /v0/servers/00613acb-73e2-4f93-8b96-296df17316c8 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63833 - "OPTIONS /v0/servers HTTP/1.1" 200 OK
INFO:     127.0.0.1:63857 - "GET /v0/servers?limit=2 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63898 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:63898 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64347 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64348 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64405 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64405 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64531 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64531 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64610 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64610 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64647 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64647 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:64647 - "GET /v0/servers/00613acb-73e2-4f93-8b96-296df17316c8 HTTP/1.1" 200 OK
